,Latitude,Longitude,source,update_PFT,PFT_ID
AT-Neu,47.1167,11.3175,FLUXNET,C3-NF,3
AU-DaS,-14.1592,131.3881,OzFlux,EBF,2
AU-Dry,-15.2588,132.3706,OzFlux,EBF,2
AU-How,-12.4952,131.15005,OzFlux,EBF,2
AU-Stp,-17.1507,133.3502,OzFlux,C4-NF,4
AU-Tum,-35.6566,148.1516,OzFlux,EBF,2
AU-Whr,-36.6732,145.0294,OzFlux,EBF,2
AU-Wom,-37.422506,144.094046,OzFlux,EBF,2
BE-Bra,51.3076,4.5198,ICOS,ENF,1
BE-Vie,50.3049,5.9981,ICOS,DBF,0
BR-Sa1,-2.8567,-54.9589,FLUXNET,EBF,2
CA-Ca1,49.8673,-125.3336,BASE,ENF,1
CA-Cbo,44.3167,-79.9333,BASE,DBF,0
CA-Oas,53.6289,-106.1978,FLUXNET,DBF,0
CA-TP3,42.7068,-80.3483,AmeriFlux,ENF,1
CA-TP4,42.7102,-80.3574,FLUXNET,ENF,1
CH-Cha,47.2102,8.4104,ICOS,C3-NF,3
CH-Dav,46.8153,9.8559,ICOS,ENF,1
CH-Lae,47.4783,8.3644,ICOS,DBF,0
DE-Gri,50.95,13.5126,ICOS,C3-NF,3
DE-Obe,50.7867,13.7213,ICOS,ENF,1
DE-RuR,50.6219,6.3041,ICOS,C3-NF,3
DE-Tha,50.9626,13.5651,ICOS,ENF,1
DK-Sor,55.4859,11.6446,ICOS,DBF,0
ES-Agu,36.94,-2.0332,ICOS,C3-NF,3
ES-LJu,36.9266,-2.7521,ICOS,C3-NF,3
FI-Hyy,61.8474,24.2948,ICOS,ENF,1
FI-Sod,67.3624,26.6386,FLUXNET,ENF,1
FR-Fon,48.4764,2.7801,ICOS,DBF,0
GF-Guy,5.2788,-52.9249,FLUXNET,EBF,2
IL-Yat,31.345306,35.051861,ICOS,ENF,1
IT-Col,41.8494,13.5881,FLUXNET,DBF,0
IT-Lav,45.9562,11.2813,ICOS,ENF,1
IT-Ren,46.5869,11.4337,ICOS,ENF,1
IT-Ro2,42.3903,11.9209,FLUXNET,DBF,0
IT-Tor,45.8444,7.5781,ICOS,C3-NF,3
NL-Loo,52.1666,5.7436,FLUXNET,ENF,1
RU-Fyo,56.4615,32.9221,ICOS,ENF,1
US-EML,63.8784,-149.2536,BASE,C3-NF,3
US-GLE,41.3665,-106.2399,AmeriFlux,ENF,1
US-Ha1,42.5378,-72.1715,AmeriFlux,DBF,0
US-Ho1,45.2041,-68.7402,BASE,ENF,1
US-IB2,41.8406,-88.241,BASE,C4-NF,4
US-ICt,68.6063,-149.3041,AmeriFlux,C3-NF,3
US-KFS,39.0561,-95.1907,AmeriFlux,C3-NF,3
US-MMS,39.3232,-86.4131,AmeriFlux,DBF,0
US-MOz,38.7441,-92.2,AmeriFlux,DBF,0
US-Me2,44.4523,-121.5574,AmeriFlux,ENF,1
US-NC2,35.803,-76.6685,BASE,ENF,1
US-NR1,40.0329,-105.5464,AmeriFlux,ENF,1
US-Oho,41.5545,-83.8438,BASE,DBF,0
US-SRG,31.7894,-110.8277,BASE,C4-NF,4
US-SRM,31.8214,-110.8661,FLUXNET,C4-NF,4
US-Syv,46.242,-89.3477,BASE,DBF,0
US-Ton,38.4309,-120.966,BASE,DBF,0
US-UMB,45.5598,-84.7138,FLUXNET,DBF,0
US-UMd,45.5625,-84.6975,AmeriFlux,DBF,0
US-Uaf,64.8663,-147.8555,BASE,ENF,1
US-Var,38.4133,-120.9508,BASE,C3-NF,3
US-WCr,45.8059,-90.0799,FLUXNET,DBF,0
US-Whs,31.7438,-110.0522,BASE,C3-NF,3
US-Wjs,34.4255,-105.8615,AmeriFlux,C4-NF,4
US-Wkg,31.7365,-109.9419,FLUXNET,C4-NF,4